Model,Accuracy,Precision,Recall,F1 Score,AUC-ROC,Error Rate,Specificity,False Positive Rate
XGBoost,0.8461538461538461,0.8888888888888888,0.8333333333333333,0.8375,0.8333333333333333,0.15384615384615385,1.0,0.0
Random Forest,0.8461538461538461,0.8888888888888888,0.8333333333333333,0.8375,0.8333333333333333,0.15384615384615385,1.0,0.0
Logistic Regression,0.8461538461538461,0.8888888888888888,0.8333333333333333,0.8375,0.8333333333333333,0.15384615384615385,1.0,0.0
CNN,0.9076923076923077,1.0,0.820595238095238,0.8948523698523697,0.910297619047619,0.09230769230769233,1.0,0.0
