Model,Accuracy,Precision,Recall,F1 Score,AUC-ROC,Error Rate,Specificity,False Positive Rate
XGBoost,0.7903225806451613,0.8555555555555556,0.7833333333333333,0.7772865432439902,0.7833333333333333,0.20967741935483872,1.0,0.0
Random Forest,0.7903225806451613,0.8555555555555556,0.7833333333333333,0.7772865432439902,0.7833333333333333,0.20967741935483872,1.0,0.0
Logistic Regression,0.7903225806451613,0.8555555555555556,0.7833333333333333,0.7772865432439902,0.7833333333333333,0.20967741935483872,1.0,0.0
CNN,0.9156989247311829,1.0,0.826998987854251,0.8957086024672232,0.9134994939271254,0.08430107526881718,1.0,0.0
